Nyckeltal,Region,År,Invånare
"Invånare  totalt, antal",Gullspång,2011,5251
"Invånare  totalt, antal",Gullspång,2012,5221
"Invånare  totalt, antal",Gullspång,2013,5185
"Invånare  totalt, antal",Gullspång,2014,5240
"Invånare  totalt, antal",Gullspång,2015,5229
"Invånare  totalt, antal",Gullspång,2016,5307
"Invånare  totalt, antal",Gällivare,2010,18425
"Invånare  totalt, antal",Gällivare,2011,18326
"Invånare  totalt, antal",Gällivare,2012,18307
"Invånare  totalt, antal",Gällivare,2013,18339
"Invånare  totalt, antal",Gällivare,2014,18231
"Invånare  totalt, antal",Gällivare,2015,18123
"Invånare  totalt, antal",Gällivare,2016,17956
"Invånare  totalt, antal",Gävle,2010,95055
"Invånare  totalt, antal",Gävle,2011,95428
"Invånare  totalt, antal",Gävle,2012,96170
"Invånare  totalt, antal",Gävle,2013,97236
"Invånare  totalt, antal",Gävle,2014,98314
"Invånare  totalt, antal",Gävle,2015,98877
"Invånare  totalt, antal",Gävle,2016,99788
"Invånare  totalt, antal",Göteborg,2010,513751
"Invånare  totalt, antal",Göteborg,2011,520374
"Invånare  totalt, antal",Göteborg,2012,526089
"Invånare  totalt, antal",Göteborg,2013,533271
"Invånare  totalt, antal",Göteborg,2014,541145
"Invånare  totalt, antal",Göteborg,2015,548190
"Invånare  totalt, antal",Göteborg,2016,556640
"Invånare  totalt, antal",Götene,2010,13223
"Invånare  totalt, antal",Götene,2011,13134
"Invånare  totalt, antal",Götene,2012,13092
"Invånare  totalt, antal",Götene,2013,13028
"Invånare  totalt, antal",Götene,2014,13080
"Invånare  totalt, antal",Götene,2015,13160
"Invånare  totalt, antal",Götene,2016,13275
"Invånare  totalt, antal",Habo,2010,10741
"Invånare  totalt, antal",Habo,2011,10828
"Invånare  totalt, antal",Habo,2012,10879
"Invånare  totalt, antal",Habo,2013,10975
"Invånare  totalt, antal",Habo,2014,11110
"Invånare  totalt, antal",Habo,2015,11314
"Invånare  totalt, antal",Habo,2016,11586
"Invånare  totalt, antal",Hagfors,2010,12480
"Invånare  totalt, antal",Hagfors,2011,12282
"Invånare  totalt, antal",Hagfors,2012,12170
"Invånare  totalt, antal",Hagfors,2013,12071
"Invånare  totalt, antal",Hagfors,2014,11921
