,crime,crime_id,period,period_id,periodicity,region,region_id,timepoint,value
154,Skadegörelse (inkl. mordbrand),3151,"År, 2001",2101,yearly,Hela landet,8291,2001-01-01,136808
155,Skadegörelse (inkl. mordbrand),3151,"År, 2002",2102,yearly,Hela landet,8291,2002-01-01,142259
156,Skadegörelse (inkl. mordbrand),3151,"År, 2003",2103,yearly,Hela landet,8291,2003-01-01,153330
157,Skadegörelse (inkl. mordbrand),3151,"År, 2004",2104,yearly,Hela landet,8291,2004-01-01,149394
158,Skadegörelse (inkl. mordbrand),3151,"År, 2005",2105,yearly,Hela landet,8291,2005-01-01,149702
159,Skadegörelse (inkl. mordbrand),3151,"År, 2006",2106,yearly,Hela landet,8291,2006-01-01,149874
160,Skadegörelse (inkl. mordbrand),3151,"År, 2007",2072,yearly,Hela landet,8291,2007-01-01,181329
161,Skadegörelse (inkl. mordbrand),3151,"År, 2008",2107,yearly,Hela landet,8291,2008-01-01,197496
162,Skadegörelse (inkl. mordbrand),3151,"År, 2009",2109,yearly,Hela landet,8291,2009-01-01,204890
163,Skadegörelse (inkl. mordbrand),3151,"År, 2010",2073,yearly,Hela landet,8291,2010-01-01,167063
164,Skadegörelse (inkl. mordbrand),3151,"År, 2011",2108,yearly,Hela landet,8291,2011-01-01,169617
165,Skadegörelse (inkl. mordbrand),3151,"År, 2012",2074,yearly,Hela landet,8291,2012-01-01,154096
166,Skadegörelse (inkl. mordbrand),3151,"År, 2013",2110,yearly,Hela landet,8291,2013-01-01,143013
167,Skadegörelse (inkl. mordbrand),3151,"År, 2014",2111,yearly,Hela landet,8291,2014-01-01,152814
168,Skadegörelse (inkl. mordbrand),3151,"År, 2015",2486,yearly,Hela landet,8291,2015-01-01,196631
169,Skadegörelse (inkl. mordbrand),3151,"År, 2016 prel.",2526,yearly,Hela landet,8291,2016-01-01,196162
